"Time","Event Type","MAC Address","IP Address","IPv6 Addresses","AP Name","SSID","Details","IPv6 Address","Bssid","From Ap Name","Ap Serial","From Ap Serial"
"May 5, 2021 7:01:17 PM","State Change","5C:A8:6A:8E:66:7A","134.141.123.28","fe80::5ea8:6aff:fe8e:667a","catho-ap18-410i","Extreme-Corp-Legacy","Network[Extreme-Corp-Legacy] Auth[valid] DevFamily[Android] DevType[Android] Hostname[HUAWEIP9-4a5ae5d8880516c] FT[None]","[""fe80::5ea8:6aff:fe8e:667a""]","48:9B:D5:ED:F4:A1",,"1943Y-1589400000",
"May 5, 2021 7:01:17 PM","Roam","5C:A8:6A:8E:66:7A",,"","catho-ap18-410i",,"Inside XCC from AP/Radio[1] to AP/Radio[1] Network[Extreme-Corp-Legacy] DevFamily[Android] DevType[Android] Hostname[HUAWEIP9-4a5ae5d8880516c] FT[None]",,"48:9B:D5:ED:F4:A1","catho-ap24-410i","1943Y-1589400000","1943Y-1587900000"
"May 5, 2021 7:00:49 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap18-410i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"48:9B:D5:ED:F4:B2",,"1943Y-1589400000",
"May 5, 2021 6:59:47 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap25-510i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"94:9B:2C:0F:0D:52",,"1910W-2114700000",
"May 5, 2021 6:59:23 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap24-410i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"48:9B:D5:ED:F2:D2",,"1943Y-1587900000",
"May 5, 2021 6:59:23 PM","Authentication","5C:A8:6A:8E:66:7A",,"","catho-ap24-410i","Extreme-Corp-Legacy","Network[Extreme-Corp-Legacy] AppliedRole[Extreme Corp]",,"48:9B:D5:ED:F2:C1",,"1943Y-1587900000",
"May 5, 2021 6:59:23 PM","State Change","5C:A8:6A:8E:66:7A","134.141.123.28","fe80::5ea8:6aff:fe8e:667a","catho-ap24-410i","Extreme-Corp-Legacy","Network[Extreme-Corp-Legacy] Auth[valid] DevFamily[Android] DevType[Android] Hostname[HUAWEIP9-4a5ae5d8880516c] FT[None]","[""fe80::5ea8:6aff:fe8e:667a""]","48:9B:D5:ED:F2:C1",,"1943Y-1587900000",
"May 5, 2021 6:59:23 PM","Roam","5C:A8:6A:8E:66:7A",,"","catho-ap24-410i","Extreme-Corp-Legacy","Between XCC to AP/Radio[1] DevFamily[Android] DevType[Android] Hostname[HUAWEIP9-4a5ae5d8880516c] FT[None]",,"48:9B:D5:ED:F2:C1",,"1943Y-1587900000",
"May 5, 2021 6:59:00 PM","Roam","5C:A8:6A:8E:66:7A",,"","catho-ap23-510i",,"Inside XCC from AP/Radio[2] to AP/Radio[1] Network[Extreme-Corp-Legacy] DevFamily[Android] DevType[Android] Hostname[HUAWEIP9-4a5ae5d8880516c] FT[None]",,"94:9B:2C:0E:98:E0","catho-ap31-3916ic-ROW","1907W-2011500000","1703Y-1418000000"
"May 5, 2021 6:58:55 PM","Roam","94:9B:2C:0E:C8:30",,"","catho-ap23-510i","glee-test-5","Between XCC to AP/Radio[2] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"94:9B:2C:0E:98:F2",,"1907W-2011500000",
"May 5, 2021 6:58:37 PM","State Change","94:9B:2C:0E:C8:30","134.141.120.42","","catho-ap03-505i","glee-test-5"," DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"94:9B:2C:0E:B0:72",,"1908W-2003100000",
"May 5, 2021 6:58:35 PM","De-registration","94:9B:2C:0E:C8:30",,"","catho-ap06-410i","glee-test-5","Network[glee-test] Cause[Roaming Failed] MU attempted roaming  From Site/AP[AH-TEST/catho-ap06-410i] To Site/AP[Toronto/catho-ap03-505i] DevFamily[Wireless Access Point] DevType[Extreme Wireless Access Point] Hostname[CB-AP510-2] FT[None]",,"48:9B:D5:ED:F2:F2",,"1943Y-1588000000",
